cNumber,fname,lname,phone,email,country,state,city,pcode,street,houseNumber,flatNumber
1,PETER,JONES,645278453,peter@gmail.com,AUSTRALIA,NSW,Wollongong,2500,"STATION ST.",7,NULL
2,JOHN,BLACK,63569784,john123@gmail.com,AUSTRALIA,VIC,GEELONG,3220,"VICTORIA ST.",23,NULL
3,MARY,WHITE,62389541,mary.white@hotmail.com,AUSTRALIA,VIC,MELBOURNE,3148,"RITCHIE CR.",453,27
4,MICHAEL,COLLINS,63336666,michael100@gmail.com,AUSTRALIA,QUE,BRISBANE,4152,"GREEN PL.",12,NULL
5,MARGARET,FINCH,64573489,margaret10@gmail.com,AUSTRALIA,NSW,SYDNEY,2001,"ANZAC PDE.",45,20
6,GARY,KASPAROW,645278434,gary1200@gmail.com,AUSTRALIA,WA,PERTH,6100,"CHESS ST.",99,NULL
7,CLAUDIA,HOFFMAN,64577744,claudia.hoffman10@gmail.com,AUSTRALIA,TAS,HOBART,7000,"STATION ST.",33,NULL
8,STEPHEN,STAUNTON,623778453,stephen1221@gmail.com,AUSTRALIA,NT,"ALICE SPRINGS",0870,"HUXLEY AVE.",23,NULL
9,JOSEPH,STAUNTON,623778453,joseph120@gmail.com,AUSTRALIA,NT,"ALICE SPRINGS",0870,"HUXLEY AVE.",23,NULL
10,ROBERT,SMITH,642214339,robert123@gmail.com,AUSTRALIA,NSW,DAPTO,2530,"ELLENBOROUGH PL",10,NULL
